央视频道,#genre#
CCTV1,http://116.234.0.89:4022/rtp/239.45.3.145:5140#http://183.162.205.235:4022/rtp/238.1.78.166:7200
CCTV2,http://116.234.0.89:4022/rtp/239.45.3.208:5140#http://183.162.205.235:4022/rtp/238.1.78.235:7752
CCTV3,http://116.234.0.89:4022/rtp/239.45.1.68:5140#http://183.162.205.235:4022/rtp/238.1.78.170:7232
CCTV4,http://116.234.0.89:4022/rtp/239.45.0.2:5140#http://183.162.205.235:4022/rtp/238.1.78.236:7760
CCTV5,http://116.234.0.89:4022/rtp/239.45.1.69:5140#http://183.162.205.235:4022/rtp/238.1.78.171:7240
CCTV5+,http://183.162.205.235:4022/rtp/238.1.78.237:7768
CCTV6,http://116.234.0.89:4022/rtp/239.45.1.70:5140#http://183.162.205.235:4022/rtp/238.1.78.172:7248
CCTV7,http://116.234.0.89:4022/rtp/239.45.3.56:5140#http://183.162.205.235:4022/rtp/238.1.78.239:7784
CCTV8,http://116.234.0.89:4022/rtp/239.45.1.71:5140#http://183.162.205.235:4022/rtp/238.1.78.173:7256
CCTV9,http://116.234.0.89:4022/rtp/239.45.3.4:5140#http://183.162.205.235:4022/rtp/238.1.78.240:7792
CCTV10,http://116.234.0.89:4022/rtp/239.45.3.8:5140#http://183.162.205.235:4022/rtp/238.1.78.241:7800
CCTV11,http://116.234.0.89:4022/rtp/239.45.1.196:5140#http://183.162.205.235:4022/rtp/238.1.78.206:7502
CCTV12,http://116.234.0.89:4022/rtp/239.45.3.10:5140#http://183.162.205.235:4022/rtp/238.1.78.242:7808
CCTV13,http://116.234.0.89:4022/rtp/239.45.1.198:5140#http://183.162.205.235:4022/rtp/238.1.79.35:4392
CCTV14,http://116.234.0.89:4022/rtp/239.45.3.23:5140#http://183.162.205.235:4022/rtp/238.1.78.243:7816
CCTV15,http://116.234.0.89:4022/rtp/239.45.1.200:5140#http://183.162.205.235:4022/rtp/238.1.78.222:7648
CCTV17,http://116.234.0.89:4022/rtp/239.45.3.52:5140#http://183.162.205.235:4022/rtp/238.1.78.178:7296
CCTV4K,http://183.162.205.235:4022/rtp/238.1.78.137:6968
CCTV第一剧场,http://183.162.205.235:4022/rtp/238.1.79.63:4640
CCTV怀旧剧场,http://183.162.205.235:4022/rtp/238.1.79.61:4624
CCTV风云剧场,http://183.162.205.235:4022/rtp/238.1.79.62:4632
CCTV风云音乐,http://183.162.205.235:4022/rtp/238.1.79.64:4648
CCTV兵器科技,http://183.162.205.235:4022/rtp/238.1.79.56:4584
CCTV风云足球,http://183.162.205.235:4022/rtp/238.1.79.57:4592
CCTV高尔夫网球,http://183.162.205.235:4022/rtp/238.1.79.58:4600
CCTV央视台球,http://183.162.205.235:4022/rtp/238.1.79.59:4608
CCTV女性时尚,http://183.162.205.235:4022/rtp/238.1.79.55:4576
CCTV电视指南,http://183.162.205.235:4022/rtp/238.1.79.53:4560
CCTV央视文化精品,http://183.162.205.235:4022/rtp/238.1.79.54:4568
CCTV世界地理,http://183.162.205.235:4022/rtp/238.1.79.60:4616
CETV1,http://116.234.0.89:4022/rtp/239.45.1.125:5140#http://183.162.205.235:4022/rtp/238.1.78.158:7136
CETV2,http://116.234.0.89:4022/rtp/239.45.1.52:5140
CETV4,http://116.234.0.89:4022/rtp/239.45.1.50:5140
卫视频道,#genre#
江苏卫视,http://116.234.0.89:4022/rtp/239.45.3.177:5140#http://183.162.205.235:4022/rtp/238.1.78.165:7192
湖南卫视,http://116.234.0.89:4022/rtp/239.45.3.228:5140#http://183.162.205.235:4022/rtp/238.1.78.160:7152
浙江卫视,http://116.234.0.89:4022/rtp/239.45.3.178:5140#http://183.162.205.235:4022/rtp/238.1.78.164:7184
东方卫视,http://116.234.0.89:4022/rtp/239.45.3.146:5140#http://183.162.205.235:4022/rtp/238.1.78.163:7176
安徽卫视,http://116.234.0.89:4022/rtp/239.45.1.120:5140#http://183.162.205.235:4022/rtp/238.1.79.27:4328#http://183.162.205.235:4022/rtp/238.1.78.150:7072
北京卫视,http://116.234.0.89:4022/rtp/239.45.3.229:5140#http://183.162.205.235:4022/rtp/238.1.78.162:7168
深圳卫视,http://116.234.0.89:4022/rtp/239.45.3.231:5140#http://183.162.205.235:4022/rtp/238.1.78.156:7120
重庆卫视,http://116.234.0.89:4022/rtp/239.45.1.84:5140#http://183.162.205.235:4022/rtp/238.1.78.31:6176
四川卫视,http://116.234.0.89:4022/rtp/239.45.1.83:5140#http://183.162.205.235:4022/rtp/238.1.78.30:6168
东南卫视,http://116.234.0.89:4022/rtp/239.45.1.121:5140#http://183.162.205.235:4022/rtp/238.1.78.22:6104
广东卫视,http://116.234.0.89:4022/rtp/239.45.3.230:5140#http://183.162.205.235:4022/rtp/238.1.78.161:7160
广西卫视,http://116.234.0.89:4022/rtp/239.45.0.5:5140#http://183.162.205.235:4022/rtp/238.1.78.70:6432
厦门卫视,http://183.162.205.235:4022/rtp/238.1.78.246:7840
甘肃卫视,http://116.234.0.89:4022/rtp/239.45.1.234:5140#http://183.162.205.235:4022/rtp/238.1.79.36:4400
贵州卫视,http://116.234.0.89:4022/rtp/239.45.1.80:5140#http://183.162.205.235:4022/rtp/238.1.78.244:7824
河北卫视,http://116.234.0.89:4022/rtp/239.45.1.44:5140#http://183.162.205.235:4022/rtp/238.1.78.245:7832
河南卫视,http://116.234.0.89:4022/rtp/239.45.0.3:5140#http://116.234.0.89:4022/rtp/239.45.0.3:5140#http://183.162.205.235:4022/rtp/238.1.79.65:4632
黑龙江卫视,http://116.234.0.89:4022/rtp/239.45.3.232:5140#http://183.162.205.235:4022/rtp/238.1.78.159:7144
湖北卫视,http://116.234.0.89:4022/rtp/239.45.3.239:5140#http://183.162.205.235:4022/rtp/238.1.78.168:7216
江西卫视,http://116.234.0.89:4022/rtp/239.45.1.122:5140#http://183.162.205.235:4022/rtp/238.1.78.26:6136
吉林卫视,http://116.234.0.89:4022/rtp/239.45.0.6:5140#http://183.162.205.235:4022/rtp/238.1.79.48:4496
内蒙古卫视,http://116.234.0.89:4022/rtp/239.45.1.238:5140#http://183.162.205.235:4022/rtp/238.1.78.103:6696
辽宁卫视,http://116.234.0.89:4022/rtp/239.45.1.123:5140#http://183.162.205.235:4022/rtp/238.1.78.21:6096
宁夏卫视,http://116.234.0.89:4022/rtp/239.45.1.213:5140#http://183.162.205.235:4022/rtp/238.1.78.109:6744
青海卫视,http://116.234.0.89:4022/rtp/239.45.1.230:5140#http://183.162.205.235:4022/rtp/238.1.78.102:6688
山东卫视,http://116.234.0.89:4022/rtp/239.45.3.238:5140#http://183.162.205.235:4022/rtp/238.1.78.169:7224
山西卫视,http://116.234.0.89:4022/rtp/239.45.1.229:5140#http://183.162.205.235:4022/rtp/238.1.78.95:6632
天津卫视,http://116.234.0.89:4022/rtp/239.45.1.124:5140#http://183.162.205.235:4022/rtp/238.1.78.20:6088
海南卫视,http://116.234.0.89:4022/rtp/239.45.1.81:5140#http://183.162.205.235:4022/rtp/238.1.79.49:4504
新疆卫视,http://116.234.0.89:4022/rtp/239.45.1.116:5140#http://183.162.205.235:4022/rtp/238.1.78.110:6752
云南卫视,http://116.234.0.89:4022/rtp/239.45.0.4:5140#http://116.234.0.89:4022/rtp/239.45.0.4:5140#http://183.162.205.235:4022/rtp/238.1.78.89:6584
西藏卫视,http://116.234.0.89:4022/rtp/239.45.1.231:5140#http://183.162.205.235:4022/rtp/238.1.78.101:6680
兵团卫视,http://116.234.0.89:4022/rtp/239.45.1.117:5140#http://183.162.205.235:4022/rtp/238.1.78.104:6704
康巴卫视,http://116.234.0.89:4022/rtp/239.45.1.251:5140
三沙卫视,http://116.234.0.89:4022/rtp/239.45.1.82:5140#http://183.162.205.235:4022/rtp/238.1.78.27:6144
数字频道,#genre#
SiTV欢笑剧场,http://116.234.0.89:4022/rtp/239.45.3.196:5140
金色学堂,http://116.234.0.89:4022/rtp/239.45.0.9:5140
生活时尚,http://116.234.0.89:4022/rtp/239.45.3.132:5140
动漫秀场,http://116.234.0.89:4022/rtp/239.45.3.134:5140
生活时尚,http://116.234.0.89:4022/rtp/239.45.3.132:5140
东方财经,http://116.234.0.89:4022/rtp/239.45.0.17:5140
乐游纪实,http://116.234.0.89:4022/rtp/239.45.3.135:5140
都市剧场,http://116.234.0.89:4022/rtp/239.45.3.136:5140
金色学堂,http://116.234.0.89:4022/rtp/239.45.0.9:5140
游戏风云,http://116.234.0.89:4022/rtp/239.45.3.131:5140
法治天地,http://116.234.0.89:4022/rtp/239.45.1.46:5140
金鹰纪实,http://116.234.0.89:4022/rtp/239.45.1.45:5140#http://183.162.205.235:4022/rtp/238.1.79.9:4184
茶频道,http://183.162.205.235:4022/rtp/238.1.79.30:4352
快乐垂钓,http://183.162.205.235:4022/rtp/238.1.79.31:4360
金鹰卡通,http://116.234.0.89:4022/rtp/239.45.0.38:5140#http://183.162.205.235:4022/rtp/238.1.78.100:6672
卡酷少儿,http://183.162.205.235:4022/rtp/238.1.78.97:6648
卡酷少儿,http://183.162.205.235:4022/rtp/238.1.78.97:6648
哈哈炫动,http://116.234.0.89:4022/rtp/239.45.1.55:5140
嘉佳卡通,http://116.234.0.89:4022/rtp/239.45.1.48:5140
动漫秀场,http://116.234.0.89:4022/rtp/239.45.3.134:5140
金鹰卡通,http://116.234.0.89:4022/rtp/239.45.0.38:5140#http://183.162.205.235:4022/rtp/238.1.78.100:6672
金鹰纪实,http://116.234.0.89:4022/rtp/239.45.1.45:5140#http://183.162.205.235:4022/rtp/238.1.79.9:4184
金色学堂,http://116.234.0.89:4022/rtp/239.45.0.9:5140
快乐垂钓,http://183.162.205.235:4022/rtp/238.1.79.31:4360
港台频道,#genre#
凤凰卫视中文,http://000.hfr1107.top/smt/smt.php?id=phoenixtv_hd
凤凰香港,http://000.hfr1107.top/smt/smt.php?id=hkphoenix_twn
中天新闻台,http://000.hfr1107.top/smt/smt.php?id=ctinews
TVBS新闻台,http://000.hfr1107.top/smt/smt.php?id=tvbs_n
东森新闻台,http://000.hfr1107.top/smt/smt.php?id=ettvnews
非凡新闻台,http://000.hfr1107.top/smt/smt.php?id=feifannews_twn
寰宇新闻台,http://000.hfr1107.top/smt/smt.php?id=huayuxinwen_twn
民视新闻台,http://000.hfr1107.top/smt/smt.php?id=ftvnew_taiwan
台视新闻台,http://000.hfr1107.top/smt/smt.php?id=ttvnews_twn
中视新闻台,http://000.hfr1107.top/smt/smt.php?id=zhongshinews_twn
东森财经新闻台,http://000.hfr1107.top/smt/smt.php?id=ettvcaijing_twn
年代新闻,http://000.hfr1107.top/smt/smt.php?id=niandainews_twn
江苏地方频道,#genre#
东台综合,http://dongtai-tv-hls.cm.jstv.com/dongtai-tv/dongtaizonghe.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
南京教科,http://live.nbs.cn/channels/njtv/jkpd/nbs06.m3u8
南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/nbs06.m3u8
句容党建,http://jrlive.jrntv.com/live/_definst_/dangjians/playlist.m3u8
句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8
句容生活,http://jrlive.jrntv.com/live/_definst_/shenghuos/playlist.m3u8
大丰公共,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafenget.m3u8
如东新闻综合,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
姜堰新闻综合,https://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh.m3u8
宜兴紫砂,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_zs.m3u8
张家港新闻综合,http://3gvod.zjgonline.com.cn:1935/live/_definst_/xinwenzonghe_app/chunklist.m3u8
张家港民生,http://3gvod.zjgonline.com.cn:1935/live/_definst_/shehuishenghuo_app/chunklist.m3u8
扬中党建民生,http://yangzhong-tv-hls.cm.jstv.com/yangzhong-tv/yzdj.m3u8
扬中新闻,http://yangzhong-tv-hls.cm.jstv.com/yangzhong-tv/xwzh.m3u8
扬州城市,http://cm.wshls.homecdn.com/live/8bd.m3u8
扬州新闻,http://cm.wshls.homecdn.com/live/8bb.m3u8
扬州生活,http://cm.wshls.homecdn.com/live/8bf.m3u8
扬州邗江,http://cm.wshls.homecdn.com/live/8c3.m3u8
武进新闻,https://live.wjyanghu.com/live/CH1.m3u8
武进生活,https://live.wjyanghu.com/live/CH2.m3u8
沛县新闻综合,http://peixian-tv-hls.cm.jstv.com/peixian-tv/pxzh.m3u8
沭阳综合,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
泗洪新闻综合,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8
泗阳综合,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8
泗阳资讯,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
淮阴综合,http://huaiyin-tv-replay.cm.jstv.com/huaiyin-tv/huaiyinf.m3u8
盐都综合,http://yandu-tv-hls.cm.jstv.com/yandu-tv/yanduzh.m3u8
睢宁三农,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8
睢宁生活教育,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsh.m3u8
睢宁综合,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningzh.m3u8
睢宁资讯,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningys.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
